[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:19] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:19] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:32] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:39
[2024-12-09 06:21:32] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:156
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:42] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:42] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:21:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:21:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:08] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:39
[2024-12-09 06:24:08] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:156
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:24:30] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:24:30] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
